"date","change","deposits","withdrawals"
2005-06-09,-3023,67769,70792
2005-06-10,690,7603,6913
2005-06-13,5583,11506,5923
2005-06-14,6592,12728,6136
2005-06-15,31434,86559,55125
2005-06-16,-3774,70736,74510
2005-06-17,1168,10119,8951
2005-06-20,5758,14509,8751
2005-06-21,10518,18209,7691
2005-06-22,1168,11151,9983
2005-06-23,-20031,59549,79580
2005-06-24,-92,6370,6462
2005-06-27,5624,11287,5662
2005-06-28,-2797,3704,6501
2005-06-29,4919,11583,6665
2005-06-30,-18588,90134,108722
2005-07-01,-23088,35048,58136
2005-07-05,1815,11325,9509
2005-07-06,-2852,6612,9464
2005-07-07,-2263,70429,72692
2005-07-08,-711,5874,6586
2005-07-11,1862,9071,7208
2005-07-12,-230,5377,5607
2005-07-13,-2383,8047,10430
2005-07-14,6109,69847,63738
2005-07-15,2948,38456,35508
2005-07-18,8690,16145,7455
2005-07-19,-3333,3292,6626
2005-07-20,129,10104,9975
2005-07-21,5532,68045,62513
2005-07-22,1849,5674,3824
2005-07-25,4113,9703,5590
2005-07-26,-2113,4630,6743
2005-07-27,-2559,8384,10942
2005-07-28,5306,69907,64601
2005-07-29,8955,17779,8825
2005-08-01,-13995,47700,61695
2005-08-02,-377,6046,6423
2005-08-03,-17791,10836,28628
2005-08-04,2408,70829,68422
2005-08-05,-1652,6404,8056
2005-08-08,3362,9867,6505
2005-08-09,-3063,3928,6991
2005-08-10,-1624,9204,10829
2005-08-11,-1588,68533,70121
2005-08-12,-946,8009,8955
2005-08-15,2891,63613,60722
2005-08-16,4296,11030,6734
2005-08-17,-570,9482,10052
2005-08-18,2129,72357,70228
2005-08-19,1841,8702,6861
2005-08-22,4171,9819,5648
2005-08-23,-2647,3291,5938
2005-08-24,-3436,7621,11057
2005-08-25,-540,70599,71139
2005-08-26,-2689,5984,8674
2005-08-29,3517,11013,7497
2005-08-30,-4232,3446,7678
2005-08-31,-1860,36934,38794
2005-09-01,-2237,94613,96850
2005-09-02,900,27824,26924
2005-09-06,826,9812,8986
2005-09-07,-2143,6921,9064
2005-09-08,4178,78921,74742
2005-09-09,-2988,6629,9617
2005-09-12,3613,11087,7474
2005-09-13,487,7933,7445
2005-09-14,-3425,14777,18202
2005-09-15,32827,150290,117463
2005-09-16,8622,15202,6580
2005-09-19,6724,13173,6449
2005-09-20,14660,20900,6241
2005-09-21,2316,13416,11100
2005-09-22,-12832,62420,75251
2005-09-23,790,9282,8492
2005-09-26,2680,10840,8161
2005-09-27,-3078,4777,7855
2005-09-28,-2943,8779,11722
2005-09-29,-7273,66508,73780
2005-09-30,-14590,36966,51556
2005-10-03,-20937,20336,41273
2005-10-04,-5212,4405,9617
2005-10-05,2091,10092,8001
2005-10-06,7495,73419,65924
2005-10-07,-3929,6238,10167
2005-10-11,211,10913,10702
2005-10-12,-7623,5390,13013
2005-10-13,2190,67696,65506
2005-10-14,-781,8878,9659
2005-10-17,20149,43491,23341
2005-10-18,-2190,5146,7336
2005-10-19,-293,10767,11060
2005-10-20,4049,67447,63398
2005-10-21,-1536,7122,8657
2005-10-24,1199,10155,8956
2005-10-25,-3272,4561,7833
2005-10-26,-2674,8978,11652
2005-10-27,9505,74517,65013
2005-10-28,7284,15216,7932
2005-10-31,-695,40567,41262
2005-11-01,-16594,13474,30068
2005-11-02,3338,10676,7338
2005-11-03,-12758,71760,84518
2005-11-04,-2254,8657,10910
2005-11-07,-56,9835,9891
2005-11-08,-4047,3910,7957
2005-11-09,928,11849,10920
2005-11-10,8726,78416,69690
2005-11-14,6069,14747,8678
2005-11-15,-19577,62461,82038
2005-11-16,2746,15094,12349
2005-11-17,10746,78661,67915
2005-11-18,-1479,8299,9778
2005-11-21,1438,10137,8699
2005-11-22,-5377,3223,8600
2005-11-23,-7853,8776,16629
2005-11-25,7384,82396,75011
2005-11-28,2141,7437,5296
2005-11-29,-3712,5109,8821
2005-11-30,-4531,37716,42246
2005-12-01,10084,105626,95541
2005-12-02,-4228,26232,30460
2005-12-05,-1407,9606,11013
2005-12-06,-5156,3784,8940
2005-12-07,2499,9689,7190
2005-12-08,2585,80112,77526
2005-12-09,-251,6279,6530
2005-12-12,5233,11391,6158
2005-12-13,-6862,4310,11172
2005-12-14,4050,15366,11316
2005-12-15,23145,157360,134215
2005-12-16,8119,17101,8982
2005-12-19,4272,12559,8288
2005-12-20,-1746,5008,6753
2005-12-21,550,12982,12432
2005-12-22,-11499,67046,78546
2005-12-23,8035,9850,1814
2005-12-27,5552,12354,6802
2005-12-28,-6266,6619,12885
2005-12-29,-4170,70450,74621
2005-12-30,-1903,14733,16636
2006-01-03,-18335,68792,87127
2006-01-04,103,9768,9664
2006-01-05,-5441,67400,72841
2006-01-06,1224,8232,7009
2006-01-09,4099,11002,6903
2006-01-10,-1370,6465,7836
2006-01-11,-2307,9798,12105
2006-01-12,-8345,62700,71046
2006-01-13,768,12321,11554
2006-01-17,25198,53332,28134
2006-01-18,5907,19697,13790
2006-01-19,3082,71587,68505
2006-01-20,2930,10433,7504
2006-01-23,9443,16617,7174
2006-01-24,6547,13120,6573
2006-01-25,211,11707,11496
2006-01-26,1916,71765,69849
2006-01-27,-4926,9603,14529
2006-01-30,5284,13301,8017
2006-01-31,6239,47773,41533
2006-02-01,-13520,20784,34304
2006-02-02,10399,77904,67506
2006-02-03,-28984,8713,37697
2006-02-06,1879,10556,8678
2006-02-07,-5328,4122,9450
2006-02-08,-3149,9222,12372
2006-02-09,4829,71049,66220
2006-02-10,-23024,7647,30672
2006-02-13,3612,11456,7844
2006-02-14,-1844,5554,7399
2006-02-15,3863,65233,61370
2006-02-16,15311,81317,66006
2006-02-17,-21189,6876,28064
2006-02-21,5631,13214,7584
2006-02-22,-8110,6058,14168
2006-02-23,11796,81941,70146
2006-02-24,-15642,7632,23274
