,count,percentage,total,day,raw_count
debt+ceiling,2.0,0.00832986255726781,24010,1996-01-02,2.0
debt+ceiling,5.0,0.00277833344446667,179964,1996-01-04,5.0
debt+ceiling,8.0,0.00545442149042067,146670,1996-01-05,8.0
debt+ceiling,1.0,0.00223318966479823,44779,1996-01-10,1.0
debt+ceiling,11.0,0.00491905911814686,223620,1996-01-22,11.0
debt+ceiling,15.0,0.0147084779667,101982,1996-01-23,15.0
debt+ceiling,10.0,0.00865298917511054,115567,1996-01-24,10.0
debt+ceiling,47.0,0.0375831627430911,125056,1996-01-25,47.0
debt+ceiling,5.0,0.00355025384314979,140835,1996-01-26,5.0
debt+ceiling,17.0,0.0198192946662781,85775,1996-01-30,17.0
debt+ceiling,36.0,0.0220501764014112,163264,1996-01-31,36.0
debt+ceiling,56.0,0.0304989298143378,183613,1996-02-01,56.0
debt+ceiling,2.0,0.0057369055131662,34862,1996-02-05,2.0
debt+ceiling,1.0,0.00123073893565697,81252,1996-02-09,1.0
debt+ceiling,10.0,0.00528396001099064,189252,1996-02-27,10.0
debt+ceiling,7.0,0.00394951392767876,177237,1996-02-28,7.0
debt+ceiling,3.0,0.00140749255201858,213145,1996-02-29,3.0
debt+ceiling,1.0,0.000723735633847668,138172,1996-03-06,1.0
debt+ceiling,24.0,0.0172144199457746,139418,1996-03-07,24.0
debt+ceiling,1.0,0.000603045379164782,165825,1996-03-12,1.0
debt+ceiling,1.0,0.000415646600634277,240589,1996-03-19,1.0
debt+ceiling,1.0,0.000439072152726858,227753,1996-03-20,1.0
debt+ceiling,1.0,0.00123136028370541,81211,1996-03-22,1.0
debt+ceiling,6.0,0.00639025273449565,93893,1996-03-26,6.0
debt+ceiling,25.0,0.00943075936474405,265090,1996-03-28,25.0
debt+ceiling,1.0,0.0005611357387352,178210,1996-03-29,1.0
debt+ceiling,1.0,0.000397702868233086,251444,1996-04-25,1.0
debt+ceiling,1.0,0.00113444281840974,88149,1996-05-06,1.0
debt+ceiling,1.0,0.000827143542490364,120898,1996-06-05,1.0
debt+ceiling,1.0,0.00083619031691613,119590,1996-07-12,1.0
debt+ceiling,5.0,0.00305235397538582,163808,1996-09-11,5.0
debt+ceiling,2.0,0.00128276667115635,155913,1996-09-12,2.0
debt+ceiling,1.0,0.000604657068743462,165383,1997-01-21,1.0
debt+ceiling,1.0,0.00101700431209828,98328,1997-02-10,1.0
debt+ceiling,8.0,0.00415806899275976,192397,1997-02-12,8.0
debt+ceiling,5.0,0.00566964133848893,88189,1997-02-24,5.0
debt+ceiling,3.0,0.00163047022761364,183996,1997-02-25,3.0
debt+ceiling,5.0,0.00454859721261963,109924,1997-02-26,5.0
debt+ceiling,7.0,0.0054391322253044,128697,1997-02-27,7.0
debt+ceiling,2.0,0.00350483667461096,57064,1997-03-03,2.0
debt+ceiling,6.0,0.004995004995005,120120,1997-03-04,6.0
debt+ceiling,2.0,0.000566931990838379,352776,1997-07-31,2.0
debt+ceiling,1.0,0.000582329785003843,171724,1998-09-25,1.0
debt+ceiling,1.0,0.000659774225260116,151567,1999-02-03,1.0
debt+ceiling,4.0,0.00176066412250701,227187,1999-02-23,4.0
debt+ceiling,2.0,0.000698319145816021,286402,1999-03-23,2.0
debt+ceiling,3.0,0.000904595344349294,331640,1999-03-24,3.0
debt+ceiling,2.0,0.00140965188646664,141879,1999-04-12,2.0
debt+ceiling,7.0,0.0026190547457272,267272,1999-04-15,7.0
debt+ceiling,6.0,0.00309511281686217,193854,1999-04-20,6.0
debt+ceiling,2.0,0.000829644870513177,241067,1999-04-21,2.0
debt+ceiling,17.0,0.011246733485495,151155,1999-04-22,17.0
debt+ceiling,3.0,0.0088404302342714,33935,1999-04-30,3.0
debt+ceiling,1.0,0.000328255225002544,304641,1999-05-20,1.0
debt+ceiling,1.0,0.000667155914337181,149890,2000-03-21,1.0
debt+ceiling,3.0,0.00131944688786461,227368,2000-03-22,3.0
debt+ceiling,1.0,0.000598831081728466,166992,2000-04-04,1.0
debt+ceiling,5.0,0.0029238911142949,171005,2000-06-20,5.0
debt+ceiling,1.0,0.000547489214462475,182652,2000-07-18,1.0
debt+ceiling,1.0,0.000569187598540603,175689,2001-02-13,1.0
debt+ceiling,1.0,0.000595018505075508,168062,2001-07-10,1.0
