date,subject_to_limit,ceiling,dist_to_ceiling
6/9/05,7740450,8184000,443550
6/10/05,7739880,8184000,444120
6/13/05,7741728,8184000,442272
6/14/05,7745730,8184000,438270
6/15/05,7727716,8184000,456284
6/16/05,7720433,8184000,463567
6/17/05,7722879,8184000,461121
6/20/05,7723276,8184000,460724
6/21/05,7728245,8184000,455755
6/22/05,7727191,8184000,456809
6/23/05,7714402,8184000,469598
6/24/05,7715124,8184000,468876
6/27/05,7716515,8184000,467485
6/28/05,7721352,8184000,462648
6/29/05,7717729,8184000,466271
6/30/05,7778128,8184000,405872
7/1/05,7769007,8184000,414993
7/5/05,7779457,8184000,404543
7/6/05,7784185,8184000,399815
7/7/05,7780101,8184000,403899
7/8/05,7779994,8184000,404006
7/11/05,7780887,8184000,403113
7/12/05,7785747,8184000,398253
7/13/05,7781858,8184000,402142
7/14/05,7790068,8184000,393932
7/15/05,7793956,8184000,390044
7/18/05,7795703,8184000,388297
7/19/05,7802313,8184000,381687
7/20/05,7799542,8184000,384458
7/21/05,7810115,8184000,373885
7/22/05,7810760,8184000,373240
7/25/05,7811155,8184000,372845
7/26/05,7817819,8184000,366181
7/27/05,7813835,8184000,370165
7/28/05,7820383,8184000,363617
7/29/05,7829029,8184000,354971
8/1/05,7811072,8184000,372928
8/2/05,7819135,8184000,364865
8/3/05,7811021,8184000,372979
8/4/05,7819862,8184000,364138
8/5/05,7821225,8184000,362775
8/8/05,7824043,8184000,359957
8/9/05,7825122,8184000,358878
8/10/05,7821713,8184000,362287
8/11/05,7824323,8184000,359677
8/12/05,7823599,8184000,360401
8/15/05,7852219,8184000,331781
8/16/05,7857784,8184000,326216
8/17/05,7857792,8184000,326208
8/18/05,7866527,8184000,317473
8/19/05,7866998,8184000,317002
8/22/05,7867914,8184000,316086
8/23/05,7873589,8184000,310411
8/24/05,7870988,8184000,313012
8/25/05,7873400,8184000,310600
8/26/05,7872969,8184000,311031
8/29/05,7871565,8184000,312435
8/30/05,7871193,8184000,312807
8/31/05,7868395,8184000,315605
9/1/05,7868454,8184000,315546
9/2/05,7879319,8184000,304681
9/6/05,7881521,8184000,302479
9/7/05,7886918,8184000,297082
9/8/05,7888666,8184000,295334
9/9/05,7889293,8184000,294707
9/12/05,7889178,8184000,294822
9/13/05,7893418,8184000,290582
9/14/05,7882113,8184000,301887
9/15/05,7856793,8184000,327207
9/16/05,7858868,8184000,325132
9/19/05,7864170,8184000,319830
9/20/05,7868850,8184000,315150
9/21/05,7867516,8184000,316484
9/22/05,7859876,8184000,324124
9/23/05,7859543,8184000,324457
9/26/05,7861188,8184000,322812
9/27/05,7865540,8184000,318460
9/28/05,7861083,8184000,322917
9/29/05,7852742,8184000,331258
9/30/05,7871040,8184000,312960
10/3/05,7909115,8184000,274885
10/4/05,7916643,8184000,267357
10/5/05,7917717,8184000,266283
10/6/05,7932417,8184000,251583
10/7/05,7928868,8184000,255132
10/11/05,7929695,8184000,254305
10/12/05,7929299,8184000,254701
10/13/05,7933506,8184000,250494
10/14/05,7924811,8184000,259189
10/17/05,7935062,8184000,248938
10/18/05,7942391,8184000,241609
10/19/05,7938428,8184000,245572
10/20/05,7947571,8184000,236429
10/21/05,7947158,8184000,236842
10/24/05,7948359,8184000,235641
10/25/05,7952122,8184000,231878
10/26/05,7949614,8184000,234386
10/27/05,7963796,8184000,220204
10/28/05,7967916,8184000,216084
10/31/05,7964782,8184000,219218
11/1/05,7952976,8184000,231024
11/2/05,7958951,8184000,225049
11/3/05,7964964,8184000,219036
11/4/05,7965303,8184000,218697
11/7/05,7968730,8184000,215270
11/8/05,7973900,8184000,210100
11/9/05,7971942,8184000,212058
11/10/05,7987344,8184000,196656
11/14/05,7988695,8184000,195305
11/15/05,8002607,8184000,181393
11/16/05,8000153,8184000,183847
11/17/05,8019228,8184000,164772
11/18/05,8018802,8184000,165198
11/21/05,8021115,8184000,162885
11/22/05,8025362,8184000,158638
11/23/05,8021374,8184000,162626
11/25/05,8031809,8184000,152191
11/28/05,8035033,8184000,148967
11/29/05,8033980,8184000,150020
11/30/05,8028919,8184000,155081
12/1/05,8043836,8184000,140164
12/2/05,8054284,8184000,129716
12/5/05,8055788,8184000,128212
12/6/05,8059111,8184000,124889
12/7/05,8058162,8184000,125838
12/8/05,8066866,8184000,117134
12/9/05,8067234,8184000,116766
12/12/05,8068250,8184000,115750
12/13/05,8072453,8184000,111547
12/14/05,8068483,8184000,115517
12/15/05,8035138,8184000,148862
12/16/05,8036859,8184000,147141
12/19/05,8039319,8184000,144681
12/20/05,8043546,8184000,140454
12/21/05,8036513,8184000,147487
12/22/05,8030710,8184000,153290
12/23/05,8033173,8184000,150827
12/27/05,8036635,8184000,147365
12/28/05,8036221,8184000,147779
12/29/05,8023212,8184000,160788
12/30/05,8107030,8184000,76970
1/3/06,8090781,8184000,93219
1/4/06,8102865,8184000,81135
1/5/06,8096618,8184000,87382
1/6/06,8097912,8184000,86088
1/9/06,8096980,8184000,87020
1/10/06,8102477,8184000,81523
1/11/06,8098870,8184000,85130
1/12/06,8095350,8184000,88650
1/13/06,8095045,8184000,88955
1/17/06,8107324,8184000,76676
1/18/06,8110758,8184000,73242
1/19/06,8113120,8184000,70880
1/20/06,8112022,8184000,71978
1/23/06,8110869,8184000,73131
1/24/06,8122020,8184000,61980
1/25/06,8118718,8184000,65282
1/26/06,8126614,8184000,57386
1/27/06,8126529,8184000,57471
1/30/06,8123189,8184000,60811
1/31/06,8132290,8184000,51710
2/1/06,8119466,8184000,64534
2/2/06,8134649,8184000,49351
2/3/06,8131669,8184000,52331
2/6/06,8133183,8184000,50817
2/7/06,8137311,8184000,46689
2/8/06,8133848,8184000,50152
2/9/06,8140742,8184000,43258
2/10/06,8140371,8184000,43629
2/13/06,8140849,8184000,43151
2/14/06,8145171,8184000,38829
2/15/06,8173950,8184000,10050
2/16/06,8183975,8184000,25
2/17/06,8183975,8184000,25
2/21/06,8183975,8184000,25
2/22/06,8183975,8184000,25
2/23/06,8183975,8184000,25
2/24/06,8183975,8184000,25
2/27/06,8183975,8184000,25
2/28/06,8183975,8184000,25
3/1/06,8183975,8184000,25
3/2/06,8183975,8184000,25
3/3/06,8183975,8184000,25
3/6/06,8183975,8184000,25
3/7/06,8183975,8184000,25
3/8/06,8183975,8184000,25
3/9/06,8183975,8184000,25
3/10/06,8183975,8184000,25
3/13/06,8183975,8184000,25
3/14/06,8183975,8184000,25
3/15/06,8183975,8184000,25
3/16/06,8183975,8184000,25
3/17/06,8183975,8184000,25
3/20/06,8261691,8965000,703309
3/21/06,8265314,8965000,699686
3/22/06,8261201,8965000,703799
3/23/06,8276421,8965000,688579
3/24/06,8277089,8965000,687911
3/27/06,8278110,8965000,686890
3/28/06,8281715,8965000,683285
3/29/06,8280501,8965000,684499
3/30/06,8278154,8965000,686846
3/31/06,8281451,8965000,683549
4/3/06,8288120,8965000,676880
4/4/06,8299490,8965000,665510
4/5/06,8299792,8965000,665208
4/6/06,8304122,8965000,660878
4/7/06,8309200,8965000,655800
4/10/06,8312871,8965000,652129
4/11/06,8317483,8965000,647517
4/12/06,8313938,8965000,651062
4/13/06,8316615,8965000,648385
4/14/06,8317664,8965000,647336
4/17/06,8277869,8965000,687131
4/18/06,8281658,8965000,683342
4/19/06,8280012,8965000,684988
4/20/06,8258696,8965000,706304
4/21/06,8259413,8965000,705587
4/24/06,8261517,8965000,703483
4/25/06,8270504,8965000,694496
4/26/06,8270255,8965000,694745
4/27/06,8247444,8965000,717556
4/28/06,8262718,8965000,702282
5/1/06,8258697,8965000,706303
5/2/06,8272627,8965000,692373
5/3/06,8266218,8965000,698782
5/4/06,8261316,8965000,703684
5/5/06,8263269,8965000,701731
5/8/06,8267709,8965000,697291
5/9/06,8271029,8965000,693971
5/10/06,8267040,8965000,697960
5/11/06,8267454,8965000,697546
5/12/06,8268528,8965000,696472
5/15/06,8242403,8965000,722597
5/16/06,8248178,8965000,716822
5/17/06,8251267,8965000,713733
5/18/06,8251118,8965000,713882
5/19/06,8250779,8965000,714221
5/22/06,8252573,8965000,712427
5/23/06,8260415,8965000,704585
5/24/06,8256251,8965000,708749
5/25/06,8254533,8965000,710467
5/26/06,8257108,8965000,707892
5/30/06,8252824,8965000,712176
5/31/06,8263809,8965000,701191
6/1/06,8251840,8965000,713160
6/2/06,8267812,8965000,697188
6/5/06,8269836,8965000,695164
6/6/06,8283438,8965000,681562
6/7/06,8282263,8965000,682737
6/8/06,8283625,8965000,681375
6/9/06,8284817,8965000,680183
6/12/06,8286082,8965000,678918
6/13/06,8290795,8965000,674205
6/14/06,8285541,8965000,679459
6/15/06,8243708,8965000,721292
6/16/06,8245869,8965000,719131
6/19/06,8251247,8965000,713753
6/20/06,8256054,8965000,708946
6/21/06,8254032,8965000,710968
6/22/06,8246204,8965000,718796
6/23/06,8249925,8965000,715075
6/26/06,8253508,8965000,711492
6/27/06,8257279,8965000,707721
6/28/06,8252987,8965000,712013
6/29/06,8246457,8965000,718543
6/30/06,8330646,8965000,634354
7/3/06,8306228,8965000,658772
7/5/06,8315425,8965000,649575
7/6/06,8316226,8965000,648774
7/7/06,8317832,8965000,647168
7/10/06,8315241,8965000,649759
7/11/06,8320174,8965000,644826
7/12/06,8315704,8965000,649296
7/13/06,8322687,8965000,642313
7/14/06,8323084,8965000,641916
7/17/06,8311633,8965000,653367
7/18/06,8318972,8965000,646028
7/19/06,8316966,8965000,648034
7/20/06,8324802,8965000,640198
7/21/06,8325985,8965000,639015
7/24/06,8324801,8965000,640199
7/25/06,8329415,8965000,635585
7/26/06,8326902,8965000,638098
7/27/06,8334873,8965000,630127
7/28/06,8332047,8965000,632953
7/31/06,8352614,8965000,612386
8/1/06,8348782,8965000,616218
8/2/06,8350823,8965000,614177
8/3/06,8359705,8965000,605295
8/4/06,8359492,8965000,605508
8/7/06,8360231,8965000,604769
8/8/06,8366644,8965000,598356
8/9/06,8360341,8965000,604659
8/10/06,8370109,8965000,594891
8/11/06,8371503,8965000,593497
8/14/06,8368346,8965000,596654
8/15/06,8399163,8965000,565837
8/16/06,8394370,8965000,570630
8/17/06,8409664,8965000,555336
8/18/06,8411025,8965000,553975
8/21/06,8411575,8965000,553425
8/22/06,8414124,8965000,550876
8/23/06,8413511,8965000,551489
8/24/06,8415497,8965000,549503
8/25/06,8416236,8965000,548764
8/28/06,8412475,8965000,552525
8/29/06,8416504,8965000,548496
8/30/06,8411577,8965000,553423
8/31/06,8423321,8965000,541679
9/1/06,8431580,8965000,533420
9/5/06,8436829,8965000,528171
9/6/06,8442244,8965000,522756
9/7/06,8441441,8965000,523559
9/8/06,8440841,8965000,524159
9/11/06,8442989,8965000,522011
9/12/06,8446600,8965000,518400
9/13/06,8442100,8965000,522900
9/14/06,8439372,8965000,525628
9/15/06,8395748,8965000,569252
9/18/06,8399096,8965000,565904
9/19/06,8405786,8965000,559214
9/20/06,8403140,8965000,561860
9/21/06,8392632,8965000,572368
9/22/06,8392754,8965000,572246
9/25/06,8394530,8965000,570470
9/26/06,8399529,8965000,565471
9/27/06,8400241,8965000,564759
9/28/06,8386065,8965000,578935
9/29/06,8420278,8965000,544722
10/2/06,8461948,8965000,503052
10/3/06,8461327,8965000,503673
10/4/06,8459602,8965000,505398
10/5/06,8458163,8965000,506837
10/6/06,8460228,8965000,504772
10/10/06,8460038,8965000,504962
10/11/06,8458860,8965000,506140
10/12/06,8459282,8965000,505718
10/13/06,8459959,8965000,505041
10/16/06,8450656,8965000,514344
10/17/06,8457868,8965000,507132
10/18/06,8454008,8965000,510992
10/19/06,8461282,8965000,503718
10/20/06,8462643,8965000,502357
10/24/06,8468357,8965000,496643
10/25/06,8464347,8965000,500653
10/26/06,8479008,8965000,485992
10/27/06,8479353,8965000,485647
10/30/06,8476194,8965000,488806
10/31/06,8498016,8965000,466984
11/1/06,8484722,8965000,480278
11/2/06,8505343,8965000,459657
11/3/06,8497315,8965000,467685
11/6/06,8500557,8965000,464443
11/7/06,8504918,8965000,460082
11/8/06,8500868,8965000,464132
11/9/06,8515344,8965000,449656
11/10/06,8515605,8965000,449395
11/13/06,8515514,8965000,449486
11/14/06,8519788,8965000,445212
11/15/06,8507356,8965000,457644
11/16/06,8518358,8965000,446642
11/17/06,8520558,8965000,444442
11/20/06,8521207,8965000,443793
11/21/06,8525849,8965000,439151
11/22/06,8522422,8965000,442578
11/24/06,8534951,8965000,430049
11/27/06,8538830,8965000,426170
11/28/06,8540798,8965000,424202
11/29/06,8536856,8965000,428144
11/30/06,8545715,8965000,419285
12/1/06,8548150,8965000,416850
12/4/06,8553003,8965000,411997
12/5/06,8568469,8965000,396531
12/6/06,8567069,8965000,397931
12/7/06,8566426,8965000,398574
12/8/06,8568019,8965000,396981
12/11/06,8568413,8965000,396587
12/12/06,8573637,8965000,391363
12/13/06,8570228,8965000,394772
12/14/06,8561387,8965000,403613
12/15/06,8524629,8965000,440371
12/18/06,8527461,8965000,437539
12/19/06,8535421,8965000,429579
12/20/06,8532420,8965000,432580
12/21/06,8522697,8965000,442303
12/22/06,8524478,8965000,440522
12/26/06,8528803,8965000,436197
12/27/06,8528276,8965000,436724
12/28/06,8505868,8965000,459132
12/29/06,8592513,8965000,372487
1/2/07,8590754,8965000,374246
1/3/07,8589878,8965000,375122
1/4/07,8582558,8965000,382442
1/5/07,8585248,8965000,379752
1/8/07,8585305,8965000,379695
1/9/07,8590330,8965000,374670
1/10/07,8586128,8965000,378872
1/11/07,8586394,8965000,378606
1/12/07,8586444,8965000,378556
1/16/07,8581141,8965000,383859
1/17/07,8584827,8965000,380173
1/18/07,8584821,8965000,380179
1/19/07,8586448,8965000,378552
1/22/07,8588430,8965000,376570
1/23/07,8593540,8965000,371460
1/24/07,8591846,8965000,373154
1/25/07,8594777,8965000,370223
1/26/07,8594653,8965000,370347
1/29/07,8599854,8965000,365146
1/30/07,8600801,8965000,364199
1/31/07,8619499,8965000,345501
2/1/07,8606112,8965000,358888
2/2/07,8604695,8965000,360305
2/5/07,8607663,8965000,357337
2/6/07,8611425,8965000,353575
2/7/07,8611374,8965000,353626
2/8/07,8624463,8965000,340537
2/9/07,8624456,8965000,340544
2/12/07,8625262,8965000,339738
2/13/07,8629904,8965000,335096
2/14/07,8624787,8965000,340213
2/15/07,8649163,8965000,315837
2/16/07,8656653,8965000,308347
2/20/07,8663295,8965000,301705
2/21/07,8663765,8965000,301235
2/22/07,8678988,8965000,286012
2/23/07,8680010,8965000,284990
2/26/07,8683983,8965000,281017
2/27/07,8685187,8965000,279813
2/28/07,8690921,8965000,274079
3/1/07,8700541,8965000,264459
3/2/07,8720782,8965000,244218
3/5/07,8724536,8965000,240464
3/6/07,8731681,8965000,233319
3/7/07,8731314,8965000,233686
3/8/07,8744967,8965000,220033
3/9/07,8744425,8965000,220575
3/12/07,8745413,8965000,219587
3/13/07,8750821,8965000,214179
3/14/07,8745728,8965000,219272
3/15/07,8737824,8965000,227176
3/16/07,8739672,8965000,225328
3/19/07,8746798,8965000,218202
3/20/07,8750482,8965000,214518
3/21/07,8746491,8965000,218509
3/22/07,8744449,8965000,220551
3/23/07,8749856,8965000,215144
3/26/07,8754421,8965000,210579
3/27/07,8758756,8965000,206244
